timestamp,src_computer,dst_computer,label,snapshot
2019-07-15 13:45:37,192.168.3.29,192.168.3.1,0,0
2019-07-15 13:47:19,192.168.3.29,35.224.99.156,0,0
2019-07-15 13:45:38,0.0.0.0,255.255.255.255,0,0
2019-07-15 13:45:38,8.6.0.1,8.0.6.4,0,0
2019-07-15 13:45:39,192.168.3.29,23.219.38.49,0,0
2019-07-15 13:45:39,192.168.3.29,192.168.3.31,0,0
2019-07-15 13:45:42,192.168.3.10,239.2.11.71,0,0
2019-07-15 13:45:58,0.87.248.248,3.0.0.0,0,0
2019-07-15 13:47:40,192.168.3.29,23.219.38.49,0,0
2019-07-15 13:47:38,0.0.0.0,255.255.255.255,0,0
2019-07-15 13:47:39,8.6.0.1,8.0.6.4,0,0
2019-07-15 13:47:42,192.168.3.10,239.2.11.71,0,0
2019-07-15 13:47:40,192.168.3.29,192.168.3.31,0,0
2019-07-15 13:51:10,192.168.3.1,192.168.3.29,0,0
2019-07-15 13:49:38,0.0.0.0,255.255.255.255,0,0
2019-07-15 13:49:40,8.6.0.1,8.0.6.4,0,0
2019-07-15 13:49:42,192.168.3.10,239.2.11.71,0,0
2019-07-15 13:49:45,192.168.3.29,192.168.3.31,0,0
2019-07-15 13:48:58,0.87.248.248,3.0.0.0,0,0
2019-07-15 13:52:19,192.168.3.29,35.224.99.156,0,0
2019-07-15 13:51:19,192.168.3.1,192.168.3.29,0,0
2019-07-15 13:52:27,192.168.3.29,192.168.3.1,0,0
2019-07-15 13:51:42,192.168.3.10,239.2.11.71,0,0
2019-07-15 13:51:41,8.6.0.1,8.0.6.4,0,0
2019-07-15 13:51:41,0.0.0.0,255.255.255.255,0,0
2019-07-15 13:51:51,192.168.3.29,192.168.3.31,0,0
2019-07-15 13:52:11,192.168.3.29,23.61.194.8,0,0
2019-07-15 13:51:58,0.87.248.248,3.0.0.0,0,0
2019-07-15 13:53:42,192.168.3.10,239.2.11.71,0,0
2019-07-15 13:53:42,8.6.0.1,8.0.6.4,0,0
2019-07-15 13:53:42,0.0.0.0,255.255.255.255,0,0
2019-07-15 13:53:53,192.168.3.29,192.168.3.31,0,0
2019-07-15 13:54:12,192.168.3.29,23.61.194.8,0,0
2019-07-15 13:56:22,192.168.3.29,23.61.194.8,0,0
2019-07-15 13:57:20,192.168.3.29,35.222.85.5,0,0
2019-07-15 13:55:42,192.168.3.10,239.2.11.71,0,0
2019-07-15 13:55:42,8.6.0.1,8.0.6.4,0,0
2019-07-15 13:55:44,0.0.0.0,255.255.255.255,0,0
2019-07-15 13:55:58,192.168.3.29,192.168.3.31,0,0
2019-07-15 13:54:58,0.87.248.248,3.0.0.0,0,0
2019-07-15 13:57:42,192.168.3.10,239.2.11.71,0,0
2019-07-15 13:57:43,8.6.0.1,8.0.6.4,0,0
2019-07-15 13:57:45,0.0.0.0,255.255.255.255,0,0
2019-07-15 13:57:58,192.168.3.29,192.168.3.31,0,0
2019-07-15 13:57:58,0.87.248.248,3.0.0.0,0,0
2019-07-15 13:59:42,192.168.3.10,239.2.11.71,0,0
2019-07-15 13:59:44,8.6.0.1,8.0.6.4,0,0
2019-07-15 13:59:45,0.0.0.0,255.255.255.255,0,0
2019-07-15 13:59:58,192.168.3.29,192.168.3.31,0,0
2019-07-15 14:00:13,192.168.3.29,23.48.32.169,0,0
2019-07-15 14:02:19,192.168.3.29,35.222.85.5,0,0
2019-07-15 14:01:42,192.168.3.10,239.2.11.71,0,0
2019-07-15 14:01:44,8.6.0.1,8.0.6.4,0,0
2019-07-15 14:01:47,0.0.0.0,255.255.255.255,0,0
2019-07-15 14:00:58,0.87.248.248,3.0.0.0,0,0
2019-07-15 14:02:03,192.168.3.29,192.168.3.31,0,0
2019-07-15 14:02:13,192.168.3.29,23.48.32.169,0,0
2019-07-15 14:04:22,192.168.3.29,23.48.32.169,0,0
2019-07-15 14:03:42,192.168.3.10,239.2.11.71,0,0
2019-07-15 14:03:45,8.6.0.1,8.0.6.4,0,0
2019-07-15 14:03:50,0.0.0.0,255.255.255.255,0,0
2019-07-15 14:05:52,72.201.228.135,192.168.3.29,0,0
2019-07-15 14:05:57,72.201.228.135,192.168.3.29,0,0
2019-07-15 14:04:05,192.168.3.29,192.168.3.31,0,0
2019-07-15 14:06:02,72.201.228.135,192.168.3.29,0,0
2019-07-15 14:06:08,72.201.228.135,192.168.3.29,0,0
2019-07-15 14:06:02,72.201.228.135,192.168.3.29,0,0
2019-07-15 14:06:14,72.201.228.135,192.168.3.29,0,0
2019-07-15 14:06:19,192.168.3.29,72.201.228.135,0,0
2019-07-15 14:06:24,72.201.228.135,192.168.3.29,0,0
2019-07-15 14:06:24,72.201.228.135,192.168.3.29,0,0
2019-07-15 14:06:30,72.201.228.135,192.168.3.29,0,0
2019-07-15 14:06:30,72.201.228.135,192.168.3.29,0,0
2019-07-15 14:06:24,72.201.228.135,192.168.3.29,0,0
2019-07-15 14:06:19,72.201.228.135,192.168.3.29,0,0
2019-07-15 14:06:24,72.201.228.135,192.168.3.29,0,0
2019-07-15 14:06:32,72.201.228.135,192.168.3.29,0,0
2019-07-15 14:06:37,72.201.228.135,192.168.3.29,0,0
2019-07-15 14:06:37,72.201.228.135,192.168.3.29,0,0
2019-07-15 14:06:38,72.201.228.135,192.168.3.29,0,0
2019-07-15 14:06:38,72.201.228.135,192.168.3.29,0,0
2019-07-15 14:06:14,72.201.228.135,192.168.3.29,0,0
2019-07-15 14:06:32,72.201.228.135,192.168.3.29,0,0
2019-07-15 14:06:42,72.201.228.135,192.168.3.29,0,0
2019-07-15 14:06:49,72.201.228.135,192.168.3.29,0,0
2019-07-15 14:06:50,72.201.228.135,192.168.3.29,0,0
2019-07-15 14:03:58,0.87.248.248,3.0.0.0,0,0
2019-07-15 14:06:56,72.201.228.135,192.168.3.29,0,0
2019-07-15 14:07:02,192.168.3.29,72.201.228.135,0,0
2019-07-15 14:07:04,72.201.228.135,192.168.3.29,0,0
2019-07-15 14:07:20,192.168.3.29,35.222.85.5,0,0
2019-07-15 14:07:27,72.201.228.135,192.168.3.29,0,0
2019-07-15 14:07:24,72.201.228.135,192.168.3.29,0,0
2019-07-15 14:07:32,72.201.228.135,192.168.3.29,0,0
2019-07-15 14:07:33,192.168.3.29,72.201.228.135,0,0
2019-07-15 14:05:42,192.168.3.10,239.2.11.71,0,0
2019-07-15 14:07:38,72.201.228.135,192.168.3.29,0,0
2019-07-15 14:05:46,8.6.0.1,8.0.6.4,0,0
2019-07-15 14:07:44,72.201.228.135,192.168.3.29,0,0
2019-07-15 14:07:47,72.201.228.135,192.168.3.29,0,0
2019-07-15 14:07:38,72.201.228.135,192.168.3.29,0,0
2019-07-15 14:05:51,0.0.0.0,255.255.255.255,0,0
2019-07-15 14:07:53,72.201.228.135,192.168.3.29,0,0
2019-07-15 14:07:53,72.201.228.135,192.168.3.29,0,0
2019-07-15 14:07:55,72.201.228.135,192.168.3.29,0,0
2019-07-15 14:07:55,72.201.228.135,192.168.3.29,0,0
2019-07-15 14:07:57,72.201.228.135,192.168.3.29,0,0
2019-07-15 14:07:58,72.201.228.135,192.168.3.29,0,0
2019-07-15 14:07:58,72.201.228.135,192.168.3.29,0,0
