,src,dest,score,snapshot,time,label,pred
1079,C2253,C36,0.9997100608768976,1003,298473,False,True
1936,C4695,C2825,0.9997100608781295,1007,299411,False,True
2125,C2253,C36,0.9997100608768976,1007,299549,False,True
2129,C9997,C1487,0.9997100608744807,1008,299634,False,True
2256,C8221,C3245,0.9997100608695315,1008,299624,False,True
2257,C8221,C1973,0.9997100608682798,1008,299626,False,True
2875,C20536,C754,0.9997100608955143,1010,300192,False,True
2876,C20536,C754,0.9997100608955143,1010,300194,False,True
3151,C2253,C36,0.9997100608768976,1011,300556,False,True
3621,C2253,C464,0.9997100609063596,1013,301046,False,True
4157,C2253,C36,0.9997100608768976,1015,301591,False,True
5058,C2253,C36,0.9997100608768976,1019,302508,False,True
5982,C310,C754,0.9997100608802745,1023,303279,False,True
5983,C310,C754,0.9997100608802745,1023,303280,False,True
5984,C310,C754,0.9997100608802745,1023,303281,False,True
6030,C2253,C36,0.9997100608768976,1023,303475,False,True
7040,C2253,C36,0.9997100608768976,1027,304504,False,True
7979,C2253,C464,0.9997100609063596,1031,305396,False,True
7980,C2253,C36,0.9997100608768976,1031,305460,False,True
8291,C4398,C754,0.999710060866066,1032,305609,False,True
8292,C4398,C754,0.999710060866066,1032,305611,False,True
8606,C4695,C2825,0.9997100608781295,1033,306081,False,True
9257,C2253,C36,0.9997100608768976,1036,306601,False,True
9643,C91,C1521,0.9997100608640508,1037,307110,False,True
10387,C2253,C36,0.9997100608768976,1040,307657,False,True
11108,C148,C1173,0.9997100608657388,1043,308581,False,True
11284,C148,C2667,0.9997100608755218,1044,308889,False,True
11290,C148,C1173,0.9997100608657388,1044,308895,False,True
11297,C148,C1585,0.9997100608749558,1044,308902,False,True
11305,C148,C328,0.9997100608798282,1044,308910,False,True
11307,C148,C3665,0.9997100608758115,1044,308912,False,True
11308,C148,C3697,0.999710060865204,1044,308913,False,True
11324,C148,C10399,0.9997100608627499,1044,308929,False,True
11325,C148,C10399,0.9997100608627499,1044,308930,False,True
11328,C148,C1102,0.9997100608710723,1044,308933,False,True
11334,C148,C1265,0.9997100608748387,1044,308939,False,True
11335,C148,C12824,0.9997100608646228,1044,308940,False,True
11336,C148,C13,0.999710060869036,1044,308941,False,True
11345,C148,C13883,0.9997100608765384,1044,308950,False,True
11352,C148,C17598,0.9997100608652635,1044,308957,False,True
11355,C148,C17605,0.9997100608683833,1044,308960,False,True
11356,C148,C17607,0.999710060881309,1044,308961,False,True
11357,C148,C17609,0.999710060866071,1044,308962,False,True
11361,C148,C2482,0.9997100608688372,1044,308966,False,True
11362,C148,C259,0.9997100608694439,1044,308967,False,True
11365,C148,C309,0.9997100608711802,1044,308970,False,True
11366,C148,C309,0.9997100608711802,1044,308971,False,True
11368,C148,C3389,0.9997100608650856,1044,308973,False,True
11370,C148,C342,0.9997100608650364,1044,308975,False,True
11379,C148,C479,0.99971006086251,1044,308984,False,True
11390,C148,C772,0.999710060879506,1044,308995,False,True
11391,C148,C774,0.9997100608765431,1044,308996,False,True
11392,C148,C818,0.9997100608653509,1044,308997,False,True
11396,C148,C93,0.9997100608749219,1044,309001,False,True
11402,C148,C2341,0.999710060862605,1044,309008,False,True
11404,C148,C266,0.9997100608713667,1044,309010,False,True
11407,C148,C3181,0.9997100608922052,1044,309013,False,True
11408,C148,C3644,0.999710060877723,1044,309014,False,True
11409,C148,C379,0.999710060878015,1044,309015,False,True
11414,C148,C975,0.9997100608643408,1044,309020,False,True
11610,C2253,C36,0.9997100608768976,1044,308664,False,True
11878,C1789,C3586,0.9997100608840508,1045,309236,False,True
11926,C1789,C2554,0.9997100608777614,1046,309375,False,True
11927,C1789,C2652,0.9997100608896179,1046,309376,False,True
11928,C1789,C3090,0.9997100608805446,1046,309377,False,True
11929,C1789,C3586,0.9997100608840508,1046,309378,False,True
11930,C1789,C3586,0.9997100608840508,1046,309494,False,True
11931,C1789,C4442,0.9997100608614017,1046,309379,False,True
11934,C1789,C5770,0.9997100608873583,1046,309381,False,True
12165,C1789,C3586,0.9997100608840508,1047,309653,False,True
12166,C1789,C3586,0.9997100608840508,1047,309840,False,True
12497,C20384,C1521,0.9997100608642567,1047,309860,False,True
12576,C1789,C3586,0.9997100608840508,1048,309996,False,True
12577,C1789,C3586,0.9997100608840508,1048,310167,False,True
12827,C2253,C36,0.9997100608768976,1048,310092,False,True
12983,C1789,C3586,0.9997100608840508,1049,310339,False,True
12984,C1789,C3586,0.9997100608840508,1049,310463,False,True
13106,C1056,C728,0.9997100608624812,1049,310500,False,True
13115,C6189,C3249,0.9997100608863074,1049,310492,False,True
13116,C728,C3468,0.9997100608676046,1049,310494,False,True
13117,C728,C1003,0.9997100608667123,1049,310501,False,True
13118,C2253,C464,0.9997100609063596,1049,310534,False,True
13119,C8221,C1973,0.9997100608682798,1049,310555,False,True
13120,C8221,C3245,0.9997100608695315,1049,310556,False,True
13189,C1789,C3586,0.9997100608840508,1050,310619,False,True
13190,C1789,C3586,0.9997100608840508,1050,310789,False,True
13194,C1789,C5770,0.9997100608873583,1050,310791,False,True
13361,C17154,C400,0.9997100608872542,1050,310644,False,True
13540,C1789,C3586,0.9997100608840508,1051,310922,False,True
13541,C1789,C3586,0.9997100608840508,1051,311115,False,True
13659,C15197,C1015,0.9997100608650165,1051,311026,False,True
13660,C15197,C1015,0.9997100608650165,1051,311027,False,True
13661,C15197,C1015,0.9997100608650165,1051,311171,False,True
13662,C15197,C1015,0.9997100608650165,1051,311172,False,True
13663,C15197,C1015,0.9997100608650165,1051,311284,False,True
13664,C15197,C1015,0.9997100608650165,1051,311285,False,True
13818,C728,C1003,0.9997100608667123,1051,311038,False,True
13819,C728,C2589,0.9997100608813461,1051,311057,False,True
13999,C1789,C3586,0.9997100608840508,1052,311336,False,True
14000,C1789,C3586,0.9997100608840508,1052,311523,False,True
14138,C15197,C1015,0.9997100608650165,1052,311360,False,True
14139,C15197,C1015,0.9997100608650165,1052,311361,False,True
14140,C15197,C1015,0.9997100608650165,1052,311363,False,True
14177,C8758,C2162,0.9997100608707485,1052,311402,False,True
14180,C151,C2589,0.9997100608658167,1052,311427,False,True
14186,C2253,C36,0.9997100608768976,1052,311445,False,True
14268,C1789,C3586,0.9997100608840508,1053,311693,False,True
14269,C1789,C3586,0.9997100608840508,1053,311893,False,True
14513,C728,C1173,0.9997100608910182,1053,311725,False,True
14514,C728,C1003,0.9997100608667123,1053,311726,False,True
14515,C728,C3468,0.9997100608676046,1053,311729,False,True
14516,C728,C1056,0.9997100608624812,1053,311735,False,True
14517,C728,C504,0.9997100608758132,1053,311764,False,True
14518,C728,C2589,0.9997100608813461,1053,311773,False,True
14526,C151,C3644,0.9997100608874732,1053,311860,False,True
14527,C151,C3644,0.9997100608874732,1053,311861,False,True
14576,C8758,C92,0.9997100608916452,1053,311784,False,True
14577,C8758,C92,0.9997100608916452,1053,311786,False,True
14578,C8758,C92,0.9997100608916452,1053,311793,False,True
14579,C8758,C92,0.9997100608916452,1053,311795,False,True
14580,C8758,C92,0.9997100608916452,1053,312022,False,True
14581,C9997,C1487,0.9997100608744807,1053,311812,False,True
14593,C21452,C754,0.9997100608842271,1053,311862,False,True
14594,C21452,C754,0.9997100608842271,1053,311869,False,True
14595,C21452,C754,0.9997100608842271,1053,311872,False,True
14596,C21452,C754,0.9997100608842271,1053,311961,False,True
14597,C21452,C754,0.9997100608842271,1053,312051,False,True
14656,C1789,C3586,0.9997100608840508,1054,312095,False,True
14657,C1789,C3586,0.9997100608840508,1054,312250,False,True
14925,C1495,C2589,0.9997100608618401,1054,312229,False,True
14926,C1495,C2589,0.9997100608618401,1054,312252,False,True
14930,C8758,C92,0.9997100608916452,1054,312375,False,True
15002,C1789,C3586,0.9997100608840508,1055,312427,False,True
15003,C1789,C3586,0.9997100608840508,1055,312603,False,True
